gold\system	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	VERB	X
ADJ	258	1	7	0	0	0	0	17	0	0	0	1	0	0	3	0
ADP	0	343	8	0	0	0	0	5	0	0	3	3	0	3	1	0
ADV	2	1	216	0	1	0	2	15	0	2	0	1	0	1	2	0
AUX	1	0	0	83	0	0	1	8	0	0	0	0	0	0	18	0
CCONJ	0	0	4	0	137	0	0	2	0	0	0	0	0	1	0	0
DET	0	0	0	0	2	175	0	3	0	0	4	0	0	0	0	0
INTJ	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0
NOUN	3	0	2	1	1	0	0	603	0	0	1	15	0	0	3	0
NUM	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0
PART	0	0	0	1	0	0	2	0	0	61	0	0	1	1	1	0
PRON	2	0	3	1	2	2	0	10	1	0	328	13	1	4	1	0
PROPN	0	0	0	0	0	0	0	0	0	0	0	85	1	0	0	0
PUNCT	0	1	0	0	0	0	0	0	0	0	0	0	395	0	0	0
SCONJ	0	2	2	0	0	0	1	2	0	1	2	0	1	62	0	0
VERB	2	1	1	4	0	0	0	14	0	0	0	1	0	0	317	0
X	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0
